bike_name,vehicle_type,powertrain,price_vnd,fuel_consumption_l_per_100km,max_power_kw,underseat_storage_l,abs,curb_weight_kg,vehicle_warranty_months
Honda Air Blade phiên bản Thể Thao,xe tay ga,ICE,58790000.0,2.23,11.2,23.2,0,113.0,36.0
Honda Air Blade phiên bản Đặc Biệt,xe tay ga,ICE,58290000.0,2.23,11.2,23.2,0,113.0,36.0
Honda Air Blade phiên bản Tiêu Chuẩn,xe tay ga,ICE,57090000.0,2.23,11.2,23.2,0,113.0,36.0
Honda Air Blade phiên bản Thể Thao,xe tay ga,ICE,48001091.0,2.12,8.75,23.2,0,111.0,36.0
Honda Air Blade phiên bản Đặc Biệt,xe tay ga,ICE,43582909.0,2.12,8.75,23.2,0,110.0,36.0
Honda Air Blade phiên bản Tiêu Chuẩn,xe tay ga,ICE,42404727.0,2.12,8.75,23.2,0,110.0,36.0
Honda Air Blade phiên bản Marvel ' Spider-Man,xe tay ga,ICE,48099273.0,2.12,8.75,23.2,0,110.0,36.0
Honda Air Blade phiên bản Marvel ' Venom,xe tay ga,ICE,48099273.0,2.12,8.75,23.2,0,110.0,36.0
Honda Blade Phiên bản Thể Thao,xe số,ICE,21943637.0,1.85,6.18,10.0,0,99.0,36.0
Honda Blade Phiên bản Đặc Biệt,xe số,ICE,20470909.0,1.85,6.18,10.0,0,99.0,36.0
Honda Blade Phiên bản Tiêu Chuẩn,xe số,ICE,18900000.0,1.85,6.18,10.0,0,99.0,36.0
Honda CBR150 Phiên bản Thể Thao,xe côn tay,ICE,73790000.0,2.91,12.6,0.0,0,139.0,36.0
Honda CBR150 Phiên bản Đặc Biệt,xe côn tay,ICE,73290000.0,2.91,12.6,0.0,0,139.0,36.0
Honda CBR150 Phiên bản Tiêu Chuẩn,xe côn tay,ICE,72290000.0,2.91,12.6,0.0,0,139.0,36.0
Honda Future Phiên bản Đặc biệt,xe số,ICE,32292000.0,1.47,6.83,12.0,0,104.0,36.0
Honda Future Phiên bản Cao cấp,xe số,ICE,31801091.0,1.47,6.83,12.0,0,104.0,36.0
Honda Future Phiên bản Tiêu chuẩn,xe số,ICE,30622909.0,1.47,6.83,12.0,0,104.0,36.0
Honda LEAD Phiên bản Đặc biệt,xe tay ga,ICE,45841091.0,2.1,8.22,37.0,0,114.0,36.0
Honda LEAD Phiên bản Cao cấp,xe tay ga,ICE,41913818.0,2.1,8.22,37.0,0,114.0,36.0
Honda LEAD Phiên bản Tiêu chuẩn,xe tay ga,ICE,39753818.0,2.1,8.22,37.0,0,113.0,36.0
Honda SH Mode Phiên bản thể thao,xe tay ga,ICE,64004727.0,2.12,8.2,18.5,0,116.0,36.0
Honda SH Mode Phiên bản đặc biệt,xe tay ga,ICE,63513818.0,2.12,8.2,18.5,0,116.0,36.0
Honda SH Mode Phiên bản cao cấp,xe tay ga,ICE,62335637.0,2.12,8.2,18.5,0,116.0,36.0
Honda SH Mode Phiên bản tiêu chuẩn,xe tay ga,ICE,57328363.0,2.12,8.2,18.5,0,116.0,36.0
Honda SH Phiên bản Thể Thao,xe tay ga,ICE,104000000.0,2.34,12.4,28.0,0,134.0,36.0
Honda SH Phiên bản Đặc Biệt,xe tay ga,ICE,104000000.0,2.34,12.4,28.0,0,134.0,36.0
Honda SH Phiên bản Cao Cấp,xe tay ga,ICE,103000000.0,2.34,12.4,28.0,0,134.0,36.0
Honda SH Phiên bản Tiêu Chuẩn,xe tay ga,ICE,95290000.0,2.34,12.4,28.0,0,134.0,36.0
Honda SH Phiên bản Thể Thao,xe tay ga,ICE,85702909.0,2.33,9.6,28.0,0,133.0,36.0
Honda SH Phiên bản Đặc Biệt,xe tay ga,ICE,85212000.0,2.33,9.6,28.0,0,133.0,36.0
Honda SH Phiên bản Cao Cấp,xe tay ga,ICE,84033818.0,2.33,9.6,28.0,0,133.0,36.0
Honda SH Phiên bản Tiêu Chuẩn,xe tay ga,ICE,76670182.0,2.33,9.6,28.0,0,133.0,36.0
Honda Vario Đặc Biệt,xe tay ga,ICE,41913818.0,2.11,8.48,18.0,0,111.0,36.0
Honda Vario Street,xe tay ga,ICE,42895637.0,2.11,8.48,18.0,0,112.0,36.0
Honda Vario Thể Thao,xe tay ga,ICE,56690000.0,2.2,11.3,17.9,0,118.0,36.0
Honda Vision Phiên bản Thể thao,xe tay ga,ICE,36808363.0,1.82,6.59,18.0,0,97.0,36.0
Honda Vision Phiên bản Đặc biệt,xe tay ga,ICE,34550182.0,1.82,6.59,18.0,0,94.0,36.0
Honda Vision Phiên bản Cao cấp,xe tay ga,ICE,33175637.0,1.82,6.59,18.0,0,94.0,36.0
Honda Vision Phiên bản Tiêu chuẩn,xe tay ga,ICE,31506545.0,1.82,6.59,18.0,0,93.0,36.0
Honda Wave Alpha Phiên bản đặc biệt,xe số,ICE,18841091.0,1.72,6.12,5.0,0,96.0,36.0
Honda Wave Alpha Phiên bản tiêu chuẩn,xe số,ICE,17957455.0,1.72,6.12,5.0,0,96.0,36.0
Honda Wave Alpha,xe số,ICE,19037455.0,1.72,6.12,5.0,0,96.0,36.0
Honda Wave RSX Phiên bản Thể thao,xe số,ICE,25664727.0,1.56,6.46,10.0,0,98.0,36.0
Honda Wave RSX Phiên bản Đặc biệt,xe số,ICE,23701091.0,1.56,6.46,10.0,0,97.0,36.0
Honda Wave RSX Phiên bản Tiêu chuẩn,xe số,ICE,22130182.0,1.56,6.46,10.0,0,97.0,36.0
Honda WINNER Phiên bản Thể Thao,xe côn tay,ICE,50760000.0,2.59,11.5,0.0,0,124.0,36.0
Honda WINNER Phiên bản Đặc Biệt,xe côn tay,ICE,50260000.0,2.59,11.5,0.0,0,124.0,36.0
Honda WINNER Phiên bản Tiêu Chuẩn,xe côn tay,ICE,46360000.0,2.59,11.5,0.0,0,123.0,36.0
Yamaha Grande phiên bản giới hạn màu mới nhất 2025,xe tay ga,ICE,52037000.0,1.73,6.5,27.0,1,101.0,36.0
Yamaha Grande phiên bản giới hạn màu mới 2024,xe tay ga,ICE,51644000.0,1.73,6.5,27.0,1,101.0,36.0
Yamaha Grande phiên bản tiêu chuẩn màu mới nhất 2025,xe tay ga,ICE,46637000.0,1.73,6.5,27.0,0,100.0,36.0
