brand,model,variant,version,vehicle_type,powertrain,model_year,official_url,source_date,price_vnd,engine_displacement_cc,max_power_kw,max_torque_nm,fuel_consumption_l_per_100km,fuel_tank_capacity_l,battery_capacity_kwh,battery_type,motor_power_kw,range_km,charging_time_h,charging_method,removable_battery,battery_warranty_months,battery_warranty_km,front_brake_type,rear_brake_type,abs,abs_channel,cbs,traction_control,underseat_storage_l,curb_weight_kg,seat_height_mm,ground_clearance_mm,length_mm,width_mm,height_mm,wheelbase_mm,vehicle_warranty_months,vehicle_warranty_km
Honda,Air Blade,Air Blade 160,phiên bản Thể Thao,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/air-blade-160125?category=2&version=85,2026-08-20,58790000,156.9,11.2,14.8,2.23,,,,,,,,,,,,,False,,False,,,113.0,775.0,142.0,1887.0,686.0,1086.0,1286.0,,
Honda,Air Blade,Air Blade 160,phiên bản Đặc Biệt,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/air-blade-160125?category=2&version=86,2026-08-20,58290000,156.9,11.2,14.8,2.23,,,,,,,,,,,,,False,,False,,,113.0,775.0,142.0,1887.0,686.0,1086.0,1286.0,,
Honda,Air Blade,Air Blade 160,phiên bản Tiêu Chuẩn,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/air-blade-160125?category=2&version=87,2026-08-20,57090000,156.9,11.2,14.8,2.23,,,,,,,,,,,,,False,,False,,,113.0,775.0,142.0,1887.0,686.0,1086.0,1286.0,,
Honda,Air Blade,Air Blade 125,phiên bản Thể Thao,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/air-blade-160125?category=2&version=89,2026-08-20,48001091,124.8,8.75,11.3,2.12,,,,,,,,,,,,,False,,False,,,111.0,775.0,141.0,1884.0,686.0,1085.0,1286.0,,
Honda,Air Blade,Air Blade 125,phiên bản Đặc Biệt,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/air-blade-160125?category=2&version=92,2026-08-20,43582909,124.8,8.75,11.3,2.12,,,,,,,,,,,,,False,,False,,,110.0,775.0,141.0,1884.0,687.0,1085.0,1286.0,,
Honda,Air Blade,Air Blade 125,phiên bản Tiêu Chuẩn,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/air-blade-160125?category=2&version=93,2026-08-20,42404727,124.8,8.75,11.3,2.12,,,,,,,,,,,,,False,,False,,,110.0,775.0,141.0,1884.0,687.0,1085.0,1286.0,,
Honda,Air Blade,Air Blade,phiên bản Marvel ' Spider-Man,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/air-blade-160125?category=2&version=109,2026-08-20,48099273,124.8,8.75,11.3,2.12,,,,,,,,,,,,,False,,False,,,110.0,775.0,141.0,1884.0,687.0,1085.0,1286.0,,
Honda,Air Blade,Air Blade,phiên bản Marvel ' Venom,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/air-blade-160125?category=2&version=111,2026-08-20,48099273,124.8,8.75,11.3,2.12,,,,,,,,,,,,,False,,False,,,110.0,775.0,141.0,1884.0,687.0,1085.0,1286.0,,
Honda,Blade,Blade,Phiên bản Thể Thao,xe số,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/blade?category=2&version=22,2026-08-20,21943637,109.1,6.18,8.65,1.85,,,,,,,,,,,,,False,,False,,,99.0,769.0,141.0,1.92,702.0,1.075,1.217,,
Honda,Blade,Blade,Phiên bản Đặc Biệt,xe số,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/blade?category=2&version=24,2026-08-20,20470909,109.1,6.18,8.65,1.85,,,,,,,,,,,,,False,,False,,,99.0,769.0,141.0,1.92,702.0,1.075,1.217,,
Honda,Blade,Blade,Phiên bản Tiêu Chuẩn,xe số,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/blade?category=2&version=25,2026-08-20,18900000,109.1,6.18,8.65,1.85,,,,,,,,,,,,,False,,False,,,99.0,769.0,141.0,1.92,702.0,1.075,1.217,,
Honda,CBR,CBR,Phiên bản Thể Thao,xe côn tay,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/cbr150r?category=2&version=61,2026-08-20,73790000,149.2,12.6,14.4,2.91,,,,,,,,,,,,,False,,False,,,139.0,788.0,151.0,1.983,700.0,1.09,1.312,,
Honda,CBR,CBR,Phiên bản Đặc Biệt,xe côn tay,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/cbr150r?category=2&version=60,2026-08-20,73290000,149.2,12.6,14.4,2.91,,,,,,,,,,,,,False,,False,,,139.0,788.0,151.0,1.983,700.0,1.09,1.312,,
Honda,CBR,CBR,Phiên bản Tiêu Chuẩn,xe côn tay,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/cbr150r?category=2&version=63,2026-08-20,72290000,149.2,12.6,14.4,2.91,,,,,,,,,,,,,False,,False,,,139.0,788.0,151.0,1.983,700.0,1.09,1.312,,
Honda,Future,Future,Phiên bản Đặc biệt,xe số,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/future-125-fi?category=2&version=62,2026-08-20,32292000,124.9,6.83,10.2,1.47,,,,,,,,,,,,,False,,False,,,104.0,756.0,133.0,1.931,711.0,1.083,1.258,,
Honda,Future,Future,Phiên bản Cao cấp,xe số,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/future-125-fi?category=2&version=64,2026-08-20,31801091,124.9,6.83,10.2,1.47,,,,,,,,,,,,,False,,False,,,104.0,756.0,133.0,1.931,711.0,1.083,1.258,,
Honda,Future,Future,Phiên bản Tiêu chuẩn,xe số,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/future-125-fi?category=2&version=65,2026-08-20,30622909,124.9,6.83,10.2,1.47,,,,,,,,,,,,,False,,False,,,104.0,756.0,133.0,1.931,711.0,1.083,1.258,,
Honda,LEAD,LEAD,Phiên bản Đặc biệt,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/lead-abs?category=2&version=91,2026-08-20,45841091,124.8,8.22,11.7,2.1,,,,,,,,,,,,,False,,False,,,114.0,760.0,140.0,1844.0,714.0,1132.0,1273.0,,
Honda,LEAD,LEAD,Phiên bản Cao cấp,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/lead-abs?category=2&version=90,2026-08-20,41913818,124.8,8.22,11.7,2.1,,,,,,,,,,,,,False,,False,,,114.0,760.0,140.0,1.844,698.0,1.132,1.273,,
Honda,LEAD,LEAD,Phiên bản Tiêu chuẩn,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/lead-abs?category=2&version=88,2026-08-20,39753818,124.8,8.22,11.7,2.1,,,,,,,,,,,,,False,,False,,,113.0,760.0,140.0,1.844,698.0,1.132,1273.0,,
Honda,SH Mode,SH Mode,Phiên bản thể thao,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/sh-mode-125?category=2&version=12,2026-08-20,64004727,124.8,8.2,11.7,2.12,,,,,,,,,,,,,False,,False,,,116.0,765.0,151.0,1.95,669.0,1.1,1.304,,
Honda,SH Mode,SH Mode,Phiên bản đặc biệt,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/sh-mode-125?category=2&version=11,2026-08-20,63513818,124.8,8.2,11.7,2.12,,,,,,,,,,,,,False,,False,,,116.0,765.0,151.0,1.95,669.0,1.1,1.304,,
Honda,SH Mode,SH Mode,Phiên bản cao cấp,xe tay ga,ICE,2025,https://www.honda.com.vn/xe-may/san-pham/sh-mode-125?category=2&version=9,2026-08-20,62335637,124.8,8.2,11.7,2.12,,,,,,,,,,,,,False,,False,,,116.0,765.0,151.0,1.95,669.0,1.1,1.304,,
